Object: Cube
----------------------------------------
POS -0.00 0.71 -0.00 | UV 1.00 1.00 | NORM -0.56 0.56 0.62 | TAN 0.71 0.71 0.00
POS -0.71 0.00 -0.00 | UV 0.00 1.00 | NORM -0.56 0.56 0.62 | TAN 0.71 0.71 0.00
POS -0.00 0.00 0.64 | UV 0.50 0.50 | NORM -0.56 0.56 0.62 | TAN 0.71 0.71 0.00
POS -0.00 -0.71 -0.00 | UV 0.00 0.00 | NORM 0.56 -0.56 0.62 | TAN 0.71 0.71 0.00
POS 0.71 0.00 -0.00 | UV 1.00 0.00 | NORM 0.56 -0.56 0.62 | TAN 0.71 0.71 0.00
POS -0.00 0.00 0.64 | UV 0.50 0.50 | NORM 0.56 -0.56 0.62 | TAN 0.71 0.71 0.00
POS 0.71 0.00 -0.00 | UV 1.00 0.00 | NORM 0.56 0.56 0.62 | TAN 0.44 0.44 -0.79
POS -0.00 0.71 -0.00 | UV 1.00 1.00 | NORM 0.56 0.56 0.62 | TAN 0.44 0.44 -0.79
POS -0.00 0.00 0.64 | UV 0.50 0.50 | NORM 0.56 0.56 0.62 | TAN 0.44 0.44 -0.79
POS -0.71 0.00 -0.00 | UV 0.00 1.00 | NORM -0.56 -0.56 0.62 | TAN 0.44 0.44 0.79
POS -0.00 -0.71 -0.00 | UV 0.00 0.00 | NORM -0.56 -0.56 0.62 | TAN 0.44 0.44 0.79
POS -0.00 0.00 0.64 | UV 0.50 0.50 | NORM -0.56 -0.56 0.62 | TAN 0.44 0.44 0.79
POS -0.00 0.00 -0.64 | UV 0.50 0.50 | NORM 0.56 -0.56 -0.62 | TAN 0.71 0.71 0.00
POS 0.71 0.00 -0.00 | UV 1.00 0.00 | NORM 0.56 -0.56 -0.62 | TAN 0.71 0.71 0.00
POS -0.00 -0.71 -0.00 | UV 0.00 0.00 | NORM 0.56 -0.56 -0.62 | TAN 0.71 0.71 0.00
POS -0.00 0.71 -0.00 | UV 1.00 1.00 | NORM 0.56 0.56 -0.62 | TAN 0.44 0.44 0.79
POS 0.71 0.00 -0.00 | UV 1.00 0.00 | NORM 0.56 0.56 -0.62 | TAN 0.44 0.44 0.79
POS -0.00 0.00 -0.64 | UV 0.50 0.50 | NORM 0.56 0.56 -0.62 | TAN 0.44 0.44 0.79
POS -0.71 0.00 -0.00 | UV 0.00 1.00 | NORM -0.56 0.56 -0.62 | TAN 0.71 0.71 0.00
POS -0.00 0.71 -0.00 | UV 1.00 1.00 | NORM -0.56 0.56 -0.62 | TAN 0.71 0.71 0.00
POS -0.00 0.00 -0.64 | UV 0.50 0.50 | NORM -0.56 0.56 -0.62 | TAN 0.71 0.71 0.00
POS -0.71 0.00 -0.00 | UV 0.00 1.00 | NORM -0.56 -0.56 -0.62 | TAN 0.44 0.44 -0.79
POS -0.00 0.00 -0.64 | UV 0.50 0.50 | NORM -0.56 -0.56 -0.62 | TAN 0.44 0.44 -0.79
POS -0.00 -0.71 -0.00 | UV 0.00 0.00 | NORM -0.56 -0.56 -0.62 | TAN 0.44 0.44 -0.79

Object: Cube001
----------------------------------------
POS 1.00 1.00 1.00 | UV 0.38 0.00 | NORM 0.00 0.00 1.00 | TAN -1.00 0.00 0.00
POS -1.00 1.00 1.00 | UV 0.62 0.00 | NORM 0.00 0.00 1.00 | TAN -1.00 0.00 0.00
POS -1.00 -1.00 1.00 | UV 0.62 0.25 | NORM 0.00 0.00 1.00 | TAN -1.00 0.00 0.00
POS 1.00 -1.00 1.00 | UV 0.38 0.25 | NORM 0.00 0.00 1.00 | TAN -1.00 0.00 0.00
POS -1.00 1.00 -1.00 | UV 0.38 0.25 | NORM 0.00 0.00 -1.00 | TAN 1.00 0.00 0.00
POS 1.00 1.00 -1.00 | UV 0.62 0.25 | NORM 0.00 0.00 -1.00 | TAN 1.00 0.00 0.00
POS 1.00 -1.00 -1.00 | UV 0.62 0.50 | NORM 0.00 0.00 -1.00 | TAN 1.00 0.00 0.00
POS -1.00 -1.00 -1.00 | UV 0.38 0.50 | NORM 0.00 0.00 -1.00 | TAN 1.00 0.00 0.00
POS 1.00 -1.00 -1.00 | UV 0.38 0.50 | NORM 0.00 -1.00 0.00 | TAN 0.00 0.00 1.00
